"","ACKR1+ endothelial","Activated CD8 T cells","Activated fibroblast/stromal","Activated macrophage/myeloid","B cells","Basal epithelial","Ciliated epithelial","Ciliated/secretory epithelial","Cycling/proliferating epithelial","Endothelial","Fibroblast/stromal","Macrophages","Mast cells","Mast cells - myeloid-associated","Mixed mast-epithelial / doublet-like","Naive/memory T cells","Neuroendocrine","Neuronal-associated prostate epithelial","Pericyte/smooth muscle","Plasma cells","Prostate epithelial","Secretory/progenitor-like epithelial"
"M1",2.08147487362474,1.93279809693726,0.0297353553374963,0.0297353553374963,3.36009515313708,5.02527505203687,0,0,0,2.70591733571216,2.11121022896224,3.1816830211121,1.48676776687481,0,0,24.5911388641094,0.0594707106749926,12.5185845970859,4.34136187927446,0.148676776687481,36.366339577758,0.0297353553374963
"M2",3.92156862745098,40.9313725490196,0,0,2.74509803921569,2.45098039215686,0.0490196078431373,0,0,9.50980392156863,5.14705882352941,4.11764705882353,2.5,0,0,0.196078431372549,4.6078431372549,0,9.75490196078431,0.833333333333333,13.2352941176471,0
"M3",1.5817223198594,21.9976567076743,2.13825424721734,1.90392501464558,0.527240773286467,7.79144698301113,2.05038078500293,1.99179847685999,1.75746924428823,4.10076157000586,3.98359695371998,9.34387814879906,1.37668424135911,2.69478617457528,1.25951962507323,0.175746924428822,0.0292911540714704,0,8.55301698886936,0.410076157000586,24.6338605741066,1.69888693614528
"M4",4.38756855575868,57.2212065813528,0,0,1.27970749542962,0.36563071297989,0,0,0,4.75319926873857,3.29067641681901,3.47349177330896,0.548446069469835,0,0,0.36563071297989,0,0,5.6672760511883,2.37659963436929,16.2705667276051,0
"M5",3.88529139685476,61.7946345975948,0,0,2.68270120259019,7.77058279370953,0,0,0,3.97779833487512,0.555041628122109,5.27289546716004,1.66512488436633,0,0,0.0925069380203515,0.0925069380203515,0,6.19796484736355,1.38760407030527,4.62534690101758,0
