"cell_type","Cell_Count","Percentage","top_markers","top_GO","top_KEGG"
"Activated CD8 T cells",2632,25.2,"CXCR6, CD8A, TIGIT, KLRB1, DUSP4","lymphocyte differentiation | antigen receptor-mediated signaling pathway | T cell receptor signaling pathway","T cell receptor signaling pathway | Viral carcinogenesis | Natural killer cell mediated cytotoxicity"
"Prostate epithelial",2473,23.68,"TGM4, VWA5B1, ANKRD34B, CCK, S100P","oxidative phosphorylation | cytoplasmic translation | aerobic electron transport chain","Ribosome | Oxidative phosphorylation | Chemical carcinogenesis - reactive oxygen species"
"Naive/memory T cells",840,8.04,"SELL, CCR7, IL7R, P2RY8, TCF7","leukocyte cell-cell adhesion | cytoplasmic translation | regulation of T cell activation","Ribosome | Coronavirus disease | Natural killer cell mediated cytotoxicity"
"Pericyte/smooth muscle",735,7.04,"FHL5, PLN, NRIP2, MYOCD, MUSTN1","cell-substrate adhesion | actin filament organization | muscle system process","Cytoskeleton in muscle cells | Focal adhesion | Integrin signaling"
"Macrophages",586,5.61,"VSIG4, TREM2, C1QA, C1QB, LILRB2","immune response-regulating cell surface receptor signaling pathway | cellular response to biotic stimulus | immune response-activating cell surface receptor signaling pathway","Tuberculosis | Phagocytosis | Rheumatoid arthritis"
"Basal epithelial",571,5.47,"LTF, KRT17, KRT23, MIR205HG, MMP7","epithelial cell development | cell-cell junction organization | actin filament organization","Tight junction | Hippo signaling pathway | Cadherin signaling"
"Endothelial",494,4.73,"BTNL9, SPAAR, ESM1, KDR, AC008050.1","endothelial cell migration | cell-substrate adhesion | blood vessel endothelial cell migration","Focal adhesion | Rap1 signaling pathway | Adherens junction"
"Neuronal-associated prostate epithelial",421,4.03,"AC106771.1, MIR548XHG, LRRC7, RALYL, SCHLAP1","regulation of cell morphogenesis | regulation of small GTPase mediated signal transduction | sterol biosynthetic process","Insulin resistance | mTOR signaling pathway | Insulin signaling pathway"
"Fibroblast/stromal",336,3.22,"CXCL14, KCNIP1, OGN, SFRP2, LRRN4CL","extracellular matrix organization | extracellular structure organization | external encapsulating structure organization","Cytoskeleton in muscle cells | Focal adhesion | Integrin signaling"
"ACKR1+ endothelial",270,2.58,"CADM3-AS1, PTPN5, TLL1, ACKR1, GPM6A","endothelial cell migration | cell-substrate adhesion | blood vessel endothelial cell migration","Adherens junction | Focal adhesion | Integrin signaling"
"B cells",223,2.13,"FCRLA, VPREB3, LINC02397, CD19, CD79A","cytoplasmic translation | B cell activation | antigen receptor-mediated signaling pathway","Ribosome | Coronavirus disease | B cell receptor signaling pathway"
"Mast cells",169,1.62,"CALB2, MS4A2, CPA3, SIGLEC6, LINC02752","myeloid cell activation involved in immune response | mast cell activation | leukocyte activation involved in immune response","Osteoclast differentiation | Fc epsilon RI signaling pathway | NF-kappa B signaling pathway"
"Neuroendocrine",98,0.94,"CHGA, ACTL6B, SCG3, DDC, UGT2B15","synaptic vesicle exocytosis | regulation of microtubule cytoskeleton organization | neural tube development","Nucleocytoplasmic transport | Tight junction | mTOR signaling pathway"
"Mast cells - myeloid-associated",92,0.88,"INHBA-AS1, AL136987.1, SLC1A3, FPR3, IGSF6","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II | antigen processing and presentation of exogenous peptide antigen via MHC class II | antigen processing and presentation of peptide antigen via MHC class II","Antigen processing and presentation | Systemic lupus erythematosus | Rheumatoid arthritis"
"Activated fibroblast/stromal",74,0.71,"IFIT2, COMP, IL1A, COL8A1, SPP1","response to molecule of bacterial origin | extracellular matrix organization | extracellular structure organization","AGE-RAGE signaling pathway in diabetic complications | Toll-like receptor signaling pathway | Lipid and atherosclerosis"
"Ciliated epithelial",71,0.68,"IGLV3-25, IGHV3-33, CDC20B, IGLVI-70, C20orf85","microtubule-based movement | cilium movement | cilium or flagellum-dependent cell motility","Huntington disease | Protein processing in endoplasmic reticulum | Parkinson disease"
"Ciliated/secretory epithelial",68,0.65,"SAA1, TIMP4, AC108690.1, TRBV24-1, FOXJ1","oxidative phosphorylation | respiratory electron transport chain | electron transport chain","Chemical carcinogenesis - reactive oxygen species | Oxidative phosphorylation | Huntington disease"
"Activated macrophage/myeloid",66,0.63,"AL078604.4, HS3ST2, LDAH, SERPINE1, ANGPTL4","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II | antigen processing and presentation of exogenous peptide antigen via MHC class II | antigen processing and presentation of peptide antigen via MHC class II","Antigen processing and presentation | Rheumatoid arthritis | Staphylococcus aureus infection"
"Plasma cells",64,0.61,"IGHGP, IGHG3, IGHG1, IGHA2, IGLC2","B cell receptor signaling pathway | antigen receptor-mediated signaling pathway | response to endoplasmic reticulum stress","Protein processing in endoplasmic reticulum | Protein export | B cell receptor signaling pathway"
"Cycling/proliferating epithelial",60,0.57,"AURKB, HIST1H2AI, CRISP3, AOC1, HIST1H2AJ","antigen processing and presentation of exogenous peptide antigen via MHC class II | antigen processing and presentation of peptide antigen | antigen processing and presentation of peptide antigen via MHC class II","Antigen processing and presentation | Asthma | Chemical carcinogenesis - reactive oxygen species"
"Secretory/progenitor-like epithelial",59,0.56,"TENT5B, MUC4, AC007906.2, OLFM4, RHOV","aerobic electron transport chain | response to hypoxia | response to decreased oxygen levels","Oxidative phosphorylation | Chemical carcinogenesis - reactive oxygen species | Fluid shear stress and atherosclerosis"
"Mixed mast-epithelial / doublet-like",43,0.41,"KRT4, UPK1A, LCN2, S100P, APOD","aerobic electron transport chain | ATP synthesis coupled electron transport | mitochondrial ATP synthesis coupled electron transport","Diabetic cardiomyopathy | Oxidative phosphorylation | Parkinson disease"
