"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","cell_type"
"GO:0106070","regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","7/1899","20/17012",0.35,3.13543970510795,3.38713202509727,0.00444387045648525,0.040407304935384,0.0323159319799958,"PDE2A/PDE10A/ARRDC3/ATP2B4/GNAI2/CRTC3/PDE4D",7,"ACKR1+ endothelial"
"GO:0070373","negative regulation of ERK1 and ERK2 cascade","16/1899","71/17012",0.225352112676056,2.01879417632705,3.04928607416256,0.00445439131295855,0.040407304935384,0.0323159319799958,"CNKSR3/SEMA6A/TLR4/EPHA4/SPRY1/DAB2IP/DAB2/SPRED1/SIRPA/GBP1/KLF4/DUSP6/SPRY4/SPRED2/ABL1/SYNJ2BP",16,"ACKR1+ endothelial"
"GO:0006307","DNA alkylation repair","5/1899","11/17012",0.454545454545455,4.07199961702331,3.61270358125996,0.0044630040944589,0.040407304935384,0.0323159319799958,"OTUD4/FTO/MGMT/USP9X/ASCC3",5,"ACKR1+ endothelial"
"GO:0006369","termination of RNA polymerase II transcription","5/1899","11/17012",0.454545454545455,4.07199961702331,3.61270358125996,0.0044630040944589,0.040407304935384,0.0323159319799958,"SETX/XRN2/SCAF8/WNK1/PCF11",5,"ACKR1+ endothelial"
"GO:0007440","foregut morphogenesis","5/1899","11/17012",0.454545454545455,4.07199961702331,3.61270358125996,0.0044630040944589,0.040407304935384,0.0323159319799958,"SOX17/NOTCH1/NCKAP1/CTNNB1/SMAD3",5,"ACKR1+ endothelial"
"GO:0021561","facial nerve development","5/1899","11/17012",0.454545454545455,4.07199961702331,3.61270358125996,0.0044630040944589,0.040407304935384,0.0323159319799958,"NRP2/SEMA3F/NRP1/ADARB1/HOXB2",5,"ACKR1+ endothelial"
"GO:0021610","facial nerve morphogenesis","5/1899","11/17012",0.454545454545455,4.07199961702331,3.61270358125996,0.0044630040944589,0.040407304935384,0.0323159319799958,"NRP2/SEMA3F/NRP1/ADARB1/HOXB2",5,"ACKR1+ endothelial"
"GO:0030210","heparin proteoglycan biosynthetic process","5/1899","11/17012",0.454545454545455,4.07199961702331,3.61270358125996,0.0044630040944589,0.040407304935384,0.0323159319799958,"NDST1/CSGALNACT1/GLCE/EXT1/EXT2",5,"ACKR1+ endothelial"
"GO:0032836","glomerular basement membrane development","5/1899","11/17012",0.454545454545455,4.07199961702331,3.61270358125996,0.0044630040944589,0.040407304935384,0.0323159319799958,"SULF2/MYO1E/LAMB2/EXT1/NID1",5,"ACKR1+ endothelial"
"GO:0048340","paraxial mesoderm morphogenesis","5/1899","11/17012",0.454545454545455,4.07199961702331,3.61270358125996,0.0044630040944589,0.040407304935384,0.0323159319799958,"FOXC1/LEF1/NCKAP1/EXOC4/SMAD3",5,"ACKR1+ endothelial"
"GO:0099532","synaptic vesicle endosomal processing","5/1899","11/17012",0.454545454545455,4.07199961702331,3.61270358125996,0.0044630040944589,0.040407304935384,0.0323159319799958,"EEA1/ITSN1/RAB11A/ITSN2/RAB7A",5,"ACKR1+ endothelial"
"GO:1901329","regulation of odontoblast differentiation","5/1899","11/17012",0.454545454545455,4.07199961702331,3.61270358125996,0.0044630040944589,0.040407304935384,0.0323159319799958,"SERPINE1/LEF1/NFE2L1/RPTOR/CTNNB1",5,"ACKR1+ endothelial"
"GO:0043549","regulation of kinase activity","42/1899","250/17012",0.168,1.50501105845182,2.85141242576591,0.00447836045092277,0.040407304935384,0.0323159319799958,"LDB2/RASIP1/HEG1/CARD10/SASH1/FBN1/FLT1/TPD52L1/GPRC5B/HIPK3/TNFRSF10B/PRKN/GAS6/KSR1/FGFR1/MAP3K11/PTK2/LATS2/CCDC88A/JAK2/EMP2/RB1/PIBF1/CORO1C/CD74/TNFRSF10A/HLA-DRB1/HERC5/PILRB/ADARB1/PTK2B/CDC37/APC/CCNY/TRIB2/UVRAG/NLRC5/NEDD9/RAPGEF2/TCIM/MVP/CDKN1A",42,"ACKR1+ endothelial"
"GO:0007350","blastoderm segmentation","8/1899","25/17012",0.32,2.86668773038441,3.31081868344357,0.00448137660066829,0.040407304935384,0.0323159319799958,"HOXD8/NRP2/SEMA3F/NRP1/LAMA5/NCKAP1/FRS2/TASOR",8,"ACKR1+ endothelial"
"GO:0019083","viral transcription","8/1899","25/17012",0.32,2.86668773038441,3.31081868344357,0.00448137660066829,0.040407304935384,0.0323159319799958,"IFITM3/MDFIC/SP100/USF2/TRIM13/UBP1/MON1B/RSF1",8,"ACKR1+ endothelial"
"GO:0046580","negative regulation of Ras protein signal transduction","8/1899","25/17012",0.32,2.86668773038441,3.31081868344357,0.00448137660066829,0.040407304935384,0.0323159319799958,"RASA4/SPRY1/DAB2IP/SPRY4/NF1/PPP2CB/MAPKAP1/RABGEF1",8,"ACKR1+ endothelial"
"GO:0051560","mitochondrial calcium ion homeostasis","8/1899","25/17012",0.32,2.86668773038441,3.31081868344357,0.00448137660066829,0.040407304935384,0.0323159319799958,"DISC1/TGM2/MCU/SLC8B1/SLC25A27/MCUB/MICU1/RAP1GDS1",8,"ACKR1+ endothelial"
"GO:0001894","tissue homeostasis","45/1899","272/17012",0.165441176470588,1.48208809590187,2.84109133998336,0.00448662330331201,0.040407304935384,0.0323159319799958,"JAM2/LDB2/ABCB1/PECAM1/CDH5/NOS3/CD34/FOXC1/NT5E/TLR4/APBB2/ESAM/GJA1/WWTR1/CLDN5/NOTCH1/TJP1/NFIB/AKT3/S1PR1/LRRK1/JAM3/EXT1/TJP2/TSPAN12/LAMC1/RB1/LTBP3/PTK2B/CTNNB1/NF1/VPS54/CCN2/NPHP3/AHR/F2R/INPP5D/GIGYF2/RAC1/CSF1/VPS13B/LIPA/YAP1/RAB7A/ITGB1",45,"ACKR1+ endothelial"
