"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","cell_type"
"GO:0043542","endothelial cell migration","83/1899","231/17012",0.359307359307359,3.2188187448851,12.035689105592,1.94258516740428e-23,1.13369270369714e-19,9.066760665548e-20,"MMRN1/TEK/RHOJ/ADAMTS9/PECAM1/ROBO4/MMRN2/HDAC9/CDH5/MET/NOS3/TGFBR3/CLEC14A/SOX18/FLT4/ACVRL1/EPHB4/PTPRM/LOXL2/HSPA12B/PRCP/CARD10/SASH1/VEGFC/JCAD/PLXND1/FAP/NRP2/ROBO1/GAB1/KDR/PIK3C2A/NRP1/PLPP3/ID1/EHD4/CDH13/HDAC7/BCAR1/DAB2IP/PXN/RIN2/CYP1B1/STARD13/NOTCH1/SPRED1/MEF2C/CD40/FGFR1/DLL4/NR2F2/EDN1/AKT3/PTK2/KLF4/PIK3R3/EMP2/SP1/PRKD2/EFNB2/CTNND1/SP100/VASH1/FOXP1/PLK2/MAP2K5/ADAM17/ATP2B4/PTK2B/HIF1A/PLCG1/RAB13/NF1/ADGRA2/MYH9/STAT5A/HDAC5/ABL1/BCAS3/SCARB1/SYNJ2BP/RAC1/ITGB1",83,"ACKR1+ endothelial"
"GO:0031589","cell-substrate adhesion","108/1899","360/17012",0.3,2.68751974723539,11.4714674293253,8.20351968918849e-23,2.3937870453052e-19,1.91444243694009e-19,"VWF/TEK/ADAMTS9/VCAM1/POSTN/ITGB4/ITGA10/THSD1/PECAM1/LIMS2/FAM107A/ITGA9/CD34/ACVRL1/TNXB/LAMB1/HOXD3/ITGA6/ADAM15/BCR/FZD4/KDR/ACTN1/ITGA8/PPM1F/SERPINE1/TAOK2/NRP1/PLPP3/ITGA5/SNED1/ITGA2/SRGAP2/DLC1/DISC1/CDH13/LAMA5/PARVB/FERMT2/DAB2/PXN/RIN2/GAS6/NOTCH1/TRIOBP/LEF1/PEAK1/DOCK1/TBCD/CARMIL1/TIAM1/GBP1/PTK2/WDPCP/ATXN3/JAM3/ROCK2/MACF1/JAK2/PRKCE/NID1/EMP2/LAMC1/ARL2/CORO1C/PHLDB2/CRK/CTTN/FER/RREB1/SPRY4/LIMS1/ANXA2/DUSP22/CX3CL1/BCAM/MAP4K4/HSD17B12/LIMCH1/PTK2B/RASA1/CTNNB1/GSK3B/SLK/ANKRD28/NF1/MKLN1/MINK1/PPARD/CCN2/PTPRK/VAMP3/CLASP1/PARVA/UTRN/NEDD9/ABL1/TRPM7/ITGAV/SORBS1/S100A10/DAPK3/NTN4/RSU1/SMAD3/RAC1/CSF1/ITGB1",108,"ACKR1+ endothelial"
"GO:0043534","blood vessel endothelial cell migration","54/1899","121/17012",0.446280991735537,3.99796326035016,11.7312252578455,9.54872771959093e-21,1.85754583238442e-17,1.48558100732162e-17,"MMRN1/RHOJ/ROBO4/MMRN2/HDAC9/CDH5/NOS3/TGFBR3/CLEC14A/SOX18/ACVRL1/EPHB4/PRCP/CARD10/VEGFC/JCAD/ROBO1/GAB1/KDR/PIK3C2A/NRP1/ID1/EHD4/HDAC7/CYP1B1/STARD13/NOTCH1/SPRED1/MEF2C/CD40/FGFR1/DLL4/AKT3/KLF4/PIK3R3/EMP2/SP1/PRKD2/EFNB2/CTNND1/VASH1/PLK2/MAP2K5/ADAM17/ATP2B4/HIF1A/PLCG1/NF1/MYH9/STAT5A/HDAC5/ABL1/SCARB1/ITGB1",54,"ACKR1+ endothelial"
"GO:0002040","sprouting angiogenesis","58/1899","138/17012",0.420289855072464,3.76512428356648,11.5610489639593,1.31760534719881e-20,1.92238620156306e-17,1.53743739723145e-17,"MMRN1/APLNR/TEK/RHOJ/ADAMTS9/SEMA6A/MMRN2/HDAC9/TSPAN18/CDH5/RAMP2/TGFBR3/SMAD1/CLEC14A/FLT4/ACVRL1/ADGRG6/DLL1/EPHB4/LOXL2/CARD10/FLT1/VEGFC/JCAD/ROBO1/KDR/PIK3C2A/NRP1/ITGA5/EHD4/CDH13/HDAC7/TGM2/STARD13/NOTCH1/SPRED1/LEF1/TJP1/DLL4/AKT3/KLF4/PIK3R3/EFNB2/CTNND1/PLK2/MAP2K5/PTK2B/ADGRA2/KLF2/PARVA/HDAC5/ABL1/CEMIP2/EPN2/RNF213/SYNJ2BP/JAK1/ITGB1",58,"ACKR1+ endothelial"
"GO:0010594","regulation of endothelial cell migration","62/1899","170/17012",0.364705882352941,3.26718086918812,10.530909024112,3.28573512087947e-18,3.83511003309051e-15,3.06714726862727e-15,"MMRN1/TEK/RHOJ/ADAMTS9/ROBO4/MMRN2/HDAC9/MET/NOS3/TGFBR3/FLT4/ACVRL1/PTPRM/PRCP/CARD10/SASH1/VEGFC/JCAD/NRP2/GAB1/KDR/PIK3C2A/NRP1/PLPP3/HDAC7/BCAR1/DAB2IP/RIN2/STARD13/NOTCH1/SPRED1/MEF2C/CD40/FGFR1/DLL4/NR2F2/EDN1/AKT3/PTK2/KLF4/EMP2/SP1/PRKD2/SP100/VASH1/FOXP1/PLK2/MAP2K5/ADAM17/ATP2B4/PTK2B/HIF1A/PLCG1/NF1/ADGRA2/STAT5A/HDAC5/ABL1/BCAS3/SCARB1/SYNJ2BP/RAC1",62,"ACKR1+ endothelial"
"GO:0030098","lymphocyte differentiation","89/871","438/17012",0.203196347031963,3.96874426602499,14.621938643464,5.57187121604813e-30,2.71071534660742e-26,2.23285407573634e-26,"ITM2A/RORA/ST3GAL1/PTK2B/RELB/INPP5D/STAT5B/JAK1/CD8A/CD2/ZAP70/ICOS/THEMIS/CD3D/LCK/PTPN22/CD3E/CD3G/RASGRP1/LAG3/BCL11B/CD27/TNFSF9/ITK/IL2RG/CD28/TOX/IL7R/SASH3/JAK3/STAT4/RUNX3/IKZF3/FLT3LG/ITGA4/PTPRC/SPN/CAMK4/PIK3CD/IKZF1/RHOH/ADAM8/TCF7/GPR65/CD69/GATA3/CARD11/SOCS1/ZFP36L2/PTGER4/TGFB1/SMAD7/NCKAP1L/DOCK2/PREX1/CCR7/JMJD6/DOCK10/LAPTM5/CYLD/CMTM7/B2M/PIK3R1/GPR183/ANXA1/VSIR/TCIRG1/ITPKB/FOSL2/RARA/LFNG/ZBTB1/PRDM1/ATM/BCL2/PTPRJ/PTPN6/RBPJ/CDK6/ZC3H12A/SOD1/DNAJB9/GPS2/SP3/PTPN2/KLF6/IRF1/KMT2A/JUNB",89,"Activated CD8 T cells"
"GO:0050851","antigen receptor-mediated signaling pathway","59/871","209/17012",0.282296650717703,5.5136976142475,15.2517954281046,4.65165922425226e-28,1.13151610629936e-24,9.32045614038334e-25,"CBLB/PRKCH/UBR2/NFATC2/INPP5D/WNK1/CD8A/SH2D1A/ZAP70/THEMIS/CD3D/LCK/PTPN22/CD3E/TRBC1/LIME1/TRBC2/CD3G/SLA2/SKAP1/TRAT1/CD247/ITK/LAT/CD28/PTPRC/PIK3CD/FYB1/FYN/GATA3/CARD11/BTN3A1/CD53/BTN3A2/FCMR/HLA-A/NCKAP1L/PRKCB/LCP2/CCR7/CSK/PDE4B/LAPTM5/LPXN/CYLD/DGKZ/CMTM3/ELF1/FOSL2/RFTN1/EZR/BCL2/PTPRJ/PTPN6/ZC3H12A/GPS2/RPS3/PTPN2/PRNP",59,"Activated CD8 T cells"
"GO:0050852","T cell receptor signaling pathway","50/871","150/17012",0.333333333333333,6.51052430156908,15.7468173500411,1.14860544055571e-27,1.86265515610118e-24,1.53429505691074e-24,"CBLB/UBR2/INPP5D/WNK1/CD8A/SH2D1A/ZAP70/THEMIS/CD3D/LCK/PTPN22/CD3E/TRBC1/LIME1/TRBC2/CD3G/SLA2/SKAP1/TRAT1/CD247/ITK/LAT/CD28/PTPRC/PIK3CD/FYB1/FYN/GATA3/CARD11/BTN3A1/CD53/BTN3A2/HLA-A/LCP2/CCR7/CSK/PDE4B/LAPTM5/CYLD/DGKZ/ELF1/FOSL2/RFTN1/EZR/PTPRJ/PTPN6/ZC3H12A/RPS3/PTPN2/PRNP",50,"Activated CD8 T cells"
"GO:0007159","leukocyte cell-cell adhesion","83/871","420/17012",0.197619047619048,3.85981083593024,13.7854632269836,4.07247086716445e-27,4.95314269218876e-24,4.07997278718291e-24,"CBLB/MSN/HLA-E/CD55/STAT5B/WNK1/TIGIT/CCL5/ZAP70/ICOS/CD6/PRKCQ/LCK/KLRK1/PTPN22/CD3E/RASGRP1/LAG3/CD5/CD27/SKAP1/ITGAL/RASAL3/TNFSF9/SELPLG/IL2RG/CD28/IL7R/SASH3/JAK3/RUNX3/ITGB7/CORO1A/ITGA4/PTPRC/RAC2/SPN/PIK3CD/RHOH/ADAM8/GPR65/FYN/CD69/GATA3/CARD11/FERMT3/SOCS1/ITGB2/TGFB1/SMAD7/HLA-A/NCKAP1L/SEMA4D/STK10/CD37/CCR7/CSK/ETS1/RIPOR2/LAPTM5/DOCK8/CYLD/B2M/CD44/ANXA1/VSIR/ITPKB/PAG1/RARA/SELENOK/ZBTB1/EZR/NR4A3/NCK2/TNFRSF14/PTPN6/TNIP1/ZC3H12A/HSPH1/RPS3/PTPN2/IRF1/PRNP",83,"Activated CD8 T cells"
"GO:0030217","T cell differentiation","72/871","327/17012",0.220183486238532,4.30052981388049,13.9991998015104,1.25870351301014e-26,1.22471851815887e-23,1.00881774190097e-23,"RORA/RELB/STAT5B/JAK1/CD8A/CD2/ZAP70/ICOS/THEMIS/CD3D/LCK/PTPN22/CD3E/CD3G/RASGRP1/LAG3/BCL11B/CD27/TNFSF9/ITK/IL2RG/CD28/TOX/IL7R/SASH3/JAK3/STAT4/RUNX3/IKZF3/PTPRC/SPN/CAMK4/PIK3CD/RHOH/ADAM8/TCF7/GPR65/CD69/GATA3/CARD11/SOCS1/ZFP36L2/PTGER4/TGFB1/SMAD7/NCKAP1L/DOCK2/PREX1/CCR7/JMJD6/CYLD/B2M/PIK3R1/GPR183/ANXA1/VSIR/TCIRG1/ITPKB/FOSL2/RARA/LFNG/ZBTB1/PRDM1/BCL2/CDK6/ZC3H12A/SOD1/SP3/PTPN2/IRF1/KMT2A/JUNB",72,"Activated CD8 T cells"
